URL,Count
"/check-uk-visa/y/kazakhstan/tourism",138
"/check-uk-visa/y/costa-rica/study/longer_than_six_months",3
"/check-uk-visa/y/hong-kong/transit",3
"/check-uk-visa/y/ecuador/work",10
"/check-uk-visa/y/serbia/family",7
"/check-uk-visa/y/bangladesh/study",81
"/check-uk-visa/y/bahamas/study/six_months_or_less",2
"/check-uk-visa/y/uzbekistan",41
"/check-uk-visa/y/bahamas/work/longer_than_six_months",3
"/check-uk-visa/y/mali/tourism",5
"/check-uk-visa/y/kosovo/study/longer_than_six_months",4
"/check-uk-visa/y/albania/family",58
"/check-uk-visa/y/bermuda",14
"/check-uk-visa/y/tuvalu/work/six_months_or_less",1
"/check-uk-visa/y/mexico/marriage",27
"/check-uk-visa/y/iraq/tourism",210
"/check-uk-visa/y/tuvalu/school",1
"/check-uk-visa/y/tajikistan/work/longer_than_six_months",2
"/check-uk-visa/y/ethiopia",98
"/check-uk-visa/y/turkmenistan/work/longer_than_six_months",1
"/check-uk-visa/y/canada/study",79
"/check-uk-visa/y/bangladesh/medical",3
"/check-uk-visa/y/mongolia/work/longer_than_six_months",2
"/check-uk-visa/y/chile/family",19
"/check-uk-visa/y/mexico/study/six_months_or_less",74
"/check-uk-visa/y/macao/work/six_months_or_less",3
"/check-uk-visa/y/panama/work/six_months_or_less",2
"/check-uk-visa/y/burma/medical",2
"/check-uk-visa/y/turkey/work",261
"/check-uk-visa/y/south-africa/family",156
"/check-uk-visa/y/venezuela/study",97
"/check-uk-visa/y/iran/medical",3
"/check-uk-visa/y/bosnia-and-herzegovina/work",17
"/check-uk-visa/y/sudan/school",3
"/check-uk-visa/y/cote-d-ivoire/work/six_months_or_less",16
"/check-uk-visa/y/mexico/work/longer_than_six_months",44
"/check-uk-visa/y/namibia/family",1
"/check-uk-visa/y/cape-verde/transit",1
"/check-uk-visa/y/dominican-republic/school",2
"/check-uk-visa/y/lesotho/transit",1
"/check-uk-visa/y/albania",190
"/check-uk-visa/y/russia/family",109
"/check-uk-visa/y/guyana/transit/yes",8
"/check-uk-visa/y/el-salvador/marriage",1
"/check-uk-visa/y/Pakistan/work",2
"/check-uk-visa/y/jordan/tourism",185
"/check-uk-visa/y/colombia/work",94
"/check-uk-visa/y/gabon/transit",1
"/print/check-uk-visa/y/usa/tourism",2
"/check-uk-visa/y/laos/transit/yes",1
"/check-uk-visa/y/swaziland",19
"/check-uk-visa/y/ghana/work/six_months_or_less",67
"/check-uk-visa/y/the-occupied-palestinian-territories/tourism",11
"/check-uk-visa/y/france",134
"/check-uk-visa/y/honduras/work",4
"/check-uk-visa/y/libya/work/six_months_or_less",25
"/check-uk-visa/y/mongolia/work/six_months_or_less",2
